Артикул;HC-код;Розница
BA2OI-FM/out-14HN8/EU;HC-1247854;71400
BA2OI-FM/out-18HN8/EU;HC-1247884;75100
BA3OI-FM/out-21HN8/EU;HC-1247886;98200
BA3OI-FM/out-27HN8/EU;HC-1247887;108600
BA4OI-FM/out-36HN8/EU;HC-1247889;168400
BA5OI-FM/out-42HN8/EU;HC-1247891;184400
BA2OI-FM/out-14HN8/EU_LP;HC-1607647;75700
BA2OI-FM/out-18HN8/EU_LP;HC-1607648;79600
BA3OI-FM/out-21HN8/EU_LP;HC-1607649;104100
BA3OI-FM/out-27HN8/EU_LP;HC-1607650;115100
BA4OI-FM/out-36HN8/EU_LP;HC-1607651;178500
BA5OI-FM/out-42HN8/EU_LP;HC-1607653;195500
BSUI-FM/in-07HN8/EU;HC-1247856;18200
BSUI-FM/in-09HN8/EU;HC-1247892;18500
BSUI-FM/in-12HN8/EU;HC-1247893;20000
BSUI-FM/in-18HN8/EU;HC-1247895;26300
BSUI-FM/in-24HN8/EU;HC-1247896;36300
BSUI-FM/in-09HN8/EU_BL;HC-1340966;18200
BSUI-FM/in-12HN8/EU_BL;HC-1340967;19600
BSUI-FM/in-18HN8/EU_BL;HC-1340968;25800
BSFI-FM/in-07HN8/EU;HC-1636180;21500
BSFI-FM/in-09HN8/EU;HC-1636183;22300
BSFI-FM/in-12HN8/EU;HC-1636186;23600
BSFI-FM/in-18HN8/EU;HC-1636188;30100
BSFI-FM/in-07HN8/EU_SV;HC-1701985;22000
BSFI-FM/in-09HN8/EU_SV;HC-1701986;22800
BSFI-FM/in-12HN8/EU_SV;HC-1701987;24100
BADI-FM/in-07HN8/EU;HC-1247857;33500
BADI-FM/in-09HN8/EU;HC-1247899;34300
BADI-FM/in-12HN8/EU_V2;HC-1698248;35800
BADI-FM/in-18HN8/EU_V2;HC-1698249;41800
BACI-FM-12HN8/EU;HC-1247914;40900
BACI-FM-18HN8/EU;HC-1247916;42900
BM2OI-FM/out-14HN8_V1/EU инверторной мульти сплит-системы;HC-1683761;75200
BM2OI-FM/out-18HN8_V1/EU инверторной мульти сплит-системы;HC-1683762;79100
BM3OI-FM/out-21HN8_V1/EU инверторной мульти сплит-системы;HC-1683763;103000
BM4OI-FM/out-28HN8_V1/EU инверторной мульти сплит-системы;HC-1683764;123600
BM4OI-FM/out-36HN8_V1/EU инверторной мульти сплит-системы;HC-1683765;176200
BM5OI-FM/out-42HN8_V1/EU инверторной мульти сплит-системы;HC-1683766;193200
 DC BSYI-FM/in-07HN8_V1/EU инверторной мульти сплит-системы;HC-1683767;19000
 DC BSYI-FM/in-09HN8_V1/EU инверторной мульти сплит-системы;HC-1683768;19400
 DC BSYI-FM/in-12HN8_V1/EU инверторной мульти сплит-системы;HC-1683769;20800
 DC BSYI-FM/in-18HN8_V1/EU инверторной мульти сплит-системы;HC-1683770;27500
Boho DС BSNI-FM/in-10HN8_V1/EU;HC-1683772;34100
Boho DС BSNI-FM/in-13HN8_V1/EU;HC-1683773;36700
EACO/I-14 FMI-2/N8_ERP;HC-1194630;92800
EACO/I-18 FMI-2/N8_ERP;HC-1194443;102900
EACO/I-24 FMI-3/N8_ERP;HC-1273406;137900
EACO/I-28 FMI-4/N8_ERP;HC-1194446;155400
EACO/I-36 FMI-4/N8_ERP;HC-1273407;224600
EACO/I-42 FMI-5/N8_ERP;HC-1194448;248500
EACO/I-48 FMI-8/N8_ERP;HC-1766236;390800
EACO/I-56 FMI-9/N8_ERP;HC-1766237;410500
EACB/I-2 FMI/N8_ERP;HC-1768721;40500
EACB/I-3 FMI/N8_ERP;HC-1768722;49000
EACB/I-5 FMI/N8_ERP;HC-1768723;65800
EACS/I-07 HMB FMI/N8_ERP/in_WF;HC-1683895;24300
EACS/I-09 HMB FMI/N8_ERP/in_WF;HC-1683896;25500
EACS/I-12 HMB FMI/N8_ERP/in_WF;HC-1683897;31700
EACS/I-18HMB FMI/N8_ERP/in_WF;HC-1683898;39600
EACS/I-09 HEN FMI/N8_ERP/in;HC-1381368;31500
EACS/I-12 HEN FMI/N8_ERP/in;HC-1381369;34900
EACS/I-18 HEN FMI/N8_ERP/in;HC-1381370;42100
EACS/I-09 HEN FMI/N8_ERP_WT/in;HC-1602065;31500
EACS/I-12 HEN FMI/N8_ERP_WT/in;HC-1602071;34900
EACS/I-18 HEN FMI/N8_ERP_WT/in;HC-1602076;42100
EACС/I-12 FMI/N8_ERP + панель;HC-1194465;57300
EACС/I-18 FMI/N8_ERP + панель;HC-1194516;66600
EACС/I-24 FMI/N8_ERP + панель;HC-1194518;78900
EACD/I-09 FMI/N8_ERP;HC-1194528;47700
EACD/I-12 FMI/N8_ERP;HC-1194535;52100
EACD/I-18 FMI/N8_ERP;HC-1194536;61600
EACD/I-24 FMI/N8_ERP;HC-1194537;81900
EACW/I-09 FMI/N8_ERP;HC-1381342;46900
EACW/I-12 FMI/N8_ERP;HC-1381364;51300
EACW/I-18 FMI/N8_ERP;HC-1381365;63400
SFMO/I-14 FMI-2/N8/Out;HC-1598973;57600
SFMO/I-18 FMI-2/N8/Out;HC-1598974;61600
SFMO/I-21 FMI-3/N8/Out;HC-1598975;79900
SFMO/I-27 FMI-3/N8/Out;HC-1598976;87400
SFMO/I-32 FMI-4/N8/Out;HC-1598977;136900
SFMO/I-42 FMI-5/N8/Out;HC-1598978;157800
SFMS/I-07 HB FMI/N8/In/white_WF;HC-1696991;16400
SFMS/I-09 HB FMI/N8/In/white_WF;HC-1696992;17100
SFMS/I-12 HB FMI/N8/In/white_WF;HC-1696993;18000
SFMS/I-18 HB FMI/N8/In/white_WF;HC-1696994;23800
SFMS/I-07 HB FMI/N8/In/white;HC-1598969;14400
SFMS/I-09 HB FMI/N8/In/white;HC-1598970;15100
SFMS/I-12 HB FMI/N8/In/white;HC-1598971;15800
SFMS/I-18 HB FMI/N8/In/white;HC-1598972;20800
